Date,F,JNJ,JPM,KO,WMT
2007-07-18,4.336517810821533,35.68904495239258,30.19687843322754,14.961904525756836,10.896106719970703
2007-07-19,4.336517810821533,35.79807662963867,30.0362548828125,15.037511825561523,11.066216468811035
2007-07-20,4.220942497253418,35.45379638671875,29.381427764892578,14.900299072265625,10.900650024414062
2007-07-23,4.251094341278076,35.57430648803711,29.128131866455078,15.020710945129395,10.911986351013184
2007-07-24,4.150594234466553,35.27019500732422,28.00996971130371,14.903099060058594,10.891569137573242
2007-07-25,4.004870891571045,35.30461502075195,27.966711044311523,15.135519981384277,10.857548713684082
2007-07-26,4.0651702880859375,34.97758483886719,27.23155975341797,14.835891723632812,10.619400024414062
2007-07-27,4.1355180740356445,34.29477310180664,27.3242244720459,14.639866828918457,10.4197998046875
2007-07-30,4.391790866851807,34.46691131591797,27.645458221435547,14.670674324035645,10.481037139892578
2007-07-31,4.276217460632324,34.713626861572266,27.18831443786621,14.592263221740723,10.422065734863281
2007-08-01,4.236018180847168,34.97758483886719,27.416893005371094,14.917101860046387,10.483304977416992
2007-08-02,4.220942497253418,35.017723083496094,27.546611785888672,15.026313781738281,10.598979949951172
2007-08-03,4.050095081329346,34.742332458496094,26.96592140197754,14.919889450073242,10.324536323547363
2007-08-06,4.115418910980225,35.746437072753906,27.86786651611328,15.18592357635498,10.66476058959961
2007-08-07,4.170693397521973,35.62019348144531,28.00996971130371,15.25033950805664,10.673828125
2007-08-08,4.457116603851318,35.85546112060547,28.732746124267578,15.642373085021973,10.982294082641602
2007-08-09,4.210892677307129,34.9029655456543,27.28716278076172,15.639570236206055,10.535475730895996
2007-08-10,4.1355180740356445,35.08660888671875,27.336570739746094,15.39594841003418,10.449289321899414
2007-08-13,4.205868721008301,35.25871658325195,27.07712173461914,15.267139434814453,10.471965789794922
2007-08-14,4.055120468139648,35.07509994506836,26.749692916870117,15.160725593566895,9.938952445983887
2007-08-15,4.0199456214904785,35.17266082763672,26.564353942871094,15.073920249938965,9.866008758544922
2007-08-16,3.8691985607147217,35.36201095581055,28.090274810791016,15.003910064697266,9.916160583496094
2007-08-17,3.9345221519470215,35.585777282714844,29.041635513305664,15.247535705566406,9.913884162902832
2007-08-20,4.0199456214904785,35.47676086425781,28.720396041870117,15.267139434814453,9.936677932739258
2007-08-21,3.9797463417053223,35.38495635986328,28.54123306274414,15.129920959472656,9.961748123168945
2007-08-22,3.944573163986206,35.58003234863281,28.417692184448242,15.107516288757324,9.973149299621582
2007-08-23,3.894322395324707,35.637428283691406,28.213821411132812,15.115911483764648,9.840932846069336
2007-08-24,3.9696953296661377,35.744285583496094,28.386804580688477,15.1215238571167,9.970869064331055
2007-08-27,3.9194469451904297,35.58253479003906,27.744308471679688,15.124321937561035,9.989108085632324
2007-08-28,3.773723602294922,35.380374908447266,26.935026168823242,14.914302825927734,9.893363952636719
2007-08-29,3.8792476654052734,35.732723236083984,27.2624454498291,14.984306335449219,10.073448181152344
2007-08-30,3.854123115539551,35.58253479003906,27.163597106933594,14.95350456237793,9.875123023986816
2007-08-31,3.9244706630706787,35.69228744506836,27.503368377685547,15.059920310974121,9.945796012878418
2007-09-04,4.014920234680176,35.802040100097656,27.985252380371094,15.225133895874023,9.870565414428711
2007-09-05,3.904372453689575,35.61143493652344,27.28716278076172,15.034709930419922,9.67680549621582
2007-09-06,3.9093973636627197,35.61719512939453,27.311872482299805,15.306340217590332,9.747471809387207
2007-09-07,3.778749465942383,35.62873840332031,26.885608673095703,15.28673267364502,9.663125991821289
2007-09-10,3.778749465942383,35.72116470336914,27.13888931274414,15.281136512756348,9.635773658752441
2007-09-11,3.808898448944092,35.84249496459961,27.515727996826172,15.586363792419434,9.78850269317627
2007-09-12,3.7686994075775146,36.108184814453125,27.472482681274414,15.732878684997559,9.736071586608887
2007-09-13,3.9797463417053223,36.45478057861328,28.17057991027832,15.741332054138184,9.815857887268066
2007-09-14,4.035018444061279,36.50676345825195,28.133516311645508,15.890656471252441,9.875123023986816
2007-09-17,4.16064453125,36.356571197509766,27.97907257080078,15.575100898742676,9.875123023986816
2007-09-18,4.230992794036865,36.87067413330078,29.542043685913086,15.893476486206055,10.130443572998047
2007-09-19,4.220942497253418,37.251914978027344,29.387605667114258,15.95263671875,10.201111793518066
2007-09-20,4.145569801330566,37.42522048950195,29.010761260986328,15.865299224853516,10.103079795837402
2007-09-21,4.1355180740356445,37.6158332824707,29.115768432617188,15.932910919189453,10.08257007598877
2007-09-24,4.261143684387207,37.66203689575195,28.627735137939453,15.975187301635742,10.023300170898438
2007-09-25,4.190793991088867,37.52918243408203,28.47947883605957,16.065336227416992,9.83865737915039
2007-09-26,4.462140083312988,37.77179718017578,28.498003005981445,16.158315658569336,9.870565414428711
2007-09-27,4.336517810821533,37.85844421386719,28.547414779663086,16.15268898010254,9.941234588623047
2007-09-28,4.266167163848877,37.95085144042969,28.30648422241211,16.192129135131836,9.950353622436523
2007-10-01,4.1355180740356445,38.20501708984375,28.918092727661133,16.31328010559082,10.137280464172363
2007-10-02,4.306365966796875,38.15304183959961,29.134319305419922,16.31890869140625,10.228463172912598
2007-10-03,4.236018180847168,38.18191909790039,29.271316528320312,16.220304489135742,10.287728309631348
2007-10-04,4.150594234466553,38.18769073486328,29.42702293395996,16.30482292175293,10.258098602294922
2007-10-05,4.205868721008301,38.26856231689453,29.632543563842773,16.36117935180664,10.342443466186523
2007-10-08,4.115418910980225,38.13569641113281,29.545345306396484,16.285106658935547,10.319650650024414
2007-10-09,4.180743217468262,38.26856231689453,29.62630844116211,16.30764389038086,10.305970191955566
2007-10-10,4.1355180740356445,38.02595520019531,29.21527099609375,16.30482292175293,10.392589569091797
2007-10-11,4.4018402099609375,38.095272064208984,29.059574127197266,16.113239288330078,10.691215515136719
2007-10-12,4.622934818267822,38.08949661254883,29.15923309326172,16.285106658935547,10.727690696716309
2007-10-15,4.517414569854736,37.92197799682617,28.81667709350586,16.240028381347656,10.58863353729248
2007-10-16,4.411890506744385,37.58693313598633,28.094242095947266,16.273832321166992,10.45413875579834
2007-10-17,4.366665363311768,37.45987319946289,28.878952026367188,16.6485595703125,10.483773231506348
2007-10-18,4.4018402099609375,37.48875427246094,28.58624267578125,16.724628448486328,10.460978507995605
2007-10-19,4.205868721008301,37.10173797607422,28.038188934326172,16.555583953857422,10.25353717803955
2007-10-22,4.190793991088867,37.16527557373047,28.256162643432617,16.69364356994629,10.315082550048828
2007-10-23,4.346564769744873,37.28657150268555,28.61115264892578,16.834518432617188,10.014183044433594
2007-10-24,4.3164167404174805,37.22303009033203,28.81667709350586,16.955665588378906,10.000507354736328
2007-10-25,4.321441650390625,36.93999481201172,28.679656982421875,17.271230697631836,10.002785682678223
2007-10-26,4.356616973876953,37.14216995239258,29.47061538696289,17.347301483154297,10.176033020019531
2007-10-29,4.406867504119873,37.53496170043945,29.065793991088867,17.423372268676758,10.260379791259766
2007-10-30,4.42194128036499,37.44253921508789,28.99729347229004,17.39238166809082,10.342443466186523
2007-10-31,4.457116603851318,37.644710540771484,29.271316528320312,17.400833129882812,10.305970191955566
2007-11-01,4.271191120147705,37.350128173828125,27.602231979370117,17.158527374267578,10.036980628967285
2007-11-02,4.497314453125,37.4194221496582,26.873558044433594,17.048646926879883,10.073448181152344
2007-11-05,4.356616973876953,37.251914978027344,26.636903762817383,17.000749588012695,10.036980628967285
2007-11-06,4.336517810821533,37.32123565673828,27.471433639526367,17.189523696899414,10.096247673034668
2007-11-07,4.140543460845947,36.91688919067383,26.30681800842285,16.893680572509766,10.014183044433594
2007-11-08,4.261143684387207,37.30967330932617,26.537256240844727,17.319124221801758,9.943511009216309
2007-11-09,4.120444297790527,37.638938903808594,26.350431442260742,17.138805389404297,9.77938461303711
2007-11-12,3.9546217918395996,38.303218841552734,26.400236129760742,16.865514755249023,9.875123023986816
2007-11-13,4.0199456214904785,38.8808479309082,28.056865692138672,17.197969436645508,10.479214668273926
2007-11-14,4.009896278381348,38.638248443603516,28.11916160583496,17.288131713867188,10.602313995361328
2007-11-15,3.9093973636627197,38.632469177246094,27.110219955444336,17.454360961914062,10.531641006469727
2007-11-16,3.8691985607147217,39.1349983215332,26.836193084716797,17.64313316345215,10.563563346862793
2007-11-19,3.688300848007202,39.042598724365234,25.76499366760254,17.552978515625,10.365238189697266
2007-11-20,3.6380512714385986,39.07147216796875,25.926923751831055,17.691030502319336,10.372076988220215
2007-11-21,3.4923274517059326,38.782649993896484,25.33526039123535,17.538894653320312,10.22618293762207
2007-11-23,3.612926483154297,38.87274932861328,26.126222610473633,17.552978515625,10.424506187438965
2007-11-26,3.532526969909668,39.157554626464844,25.198251724243164,17.39238166809082,10.264937400817871
2007-11-27,3.552626848220825,39.366798400878906,26.375320434570312,17.744571685791016,10.44730281829834
2007-11-28,3.698349952697754,39.72716522216797,27.378036499023438,17.843717575073242,10.766447067260742
2007-11-29,3.663175106048584,39.756221771240234,27.184967041015625,17.78705406188965,10.837113380432129
2007-11-30,3.773723602294922,39.37260437011719,28.41185760498047,17.591590881347656,10.919175148010254
2007-12-03,3.643075942993164,39.35517120361328,28.156526565551758,17.61992645263672,10.912334442138672
2007-12-04,3.50237774848938,39.488861083984375,27.49636459350586,17.77573013305664,10.985285758972168
2007-12-05,3.5074031352996826,39.64578628540039,27.963455200195312,17.860713958740234,11.14713191986084
2007-12-06,3.5476019382476807,39.69810485839844,28.77930450439453,17.866378784179688,11.231475830078125
2007-12-07,3.5476019382476807,39.337738037109375,28.69835090637207,17.889041900634766,11.174485206604004
2007-12-10,3.5878007411956787,39.401668548583984,29.53288459777832,17.92302703857422,11.267950057983398
2007-12-11,3.50237774848938,39.26217269897461,28.61115264892578,17.838050842285156,11.176766395568848
2007-12-12,3.5476019382476807,39.349342346191406,28.74195098876953,18.064668655395508,11.043956756591797
2007-12-13,3.512427568435669,39.44815444946289,28.49904441833496,18.15532684326172,11.066854476928711
2007-12-14,3.4621784687042236,39.2854118347168,28.150310516357422,18.076004028320312,10.90656566619873
2007-12-17,3.4169530868530273,39.26217269897461,27.733030319213867,17.696407318115234,10.952363014221191
2007-12-18,3.4219791889190674,39.35517120361328,27.340662002563477,17.625591278076172,11.046244621276855
2007-12-19,3.396853446960449,39.12848663330078,27.390493392944336,17.80405044555664,11.009607315063477
2007-12-20,3.4119293689727783,39.134315490722656,26.98567008972168,17.64259147644043,10.95694351196289
2007-12-21,3.4119293689727783,39.54117965698242,27.471433639526367,17.866378784179688,11.039375305175781
2007-12-24,3.391828775405884,39.44815444946289,27.91986846923828,17.90604019165039,11.160737991333008
2007-12-26,3.4621784687042236,39.267982482910156,27.988367080688477,17.849382400512695,11.078302383422852
2007-12-27,3.4370534420013428,39.134315490722656,27.178741455078125,17.648252487182617,10.938624382019043
2007-12-28,3.366703748703003,39.16336441040039,26.942068099975586,17.63974952697754,11.009607315063477
