cell,seed,status,robust,epsilon,delta,log_return_pa,max_drawdown,volatility,down_deviation,sortino,sharpe,spx_log_return_pa,spx_max_drawdown,spx_volatility,spx_down_deviation,spx_sortino,spx_sharpe,eval_mean_log_return_pa,eval_mean_return_vol,eval_mean_downside_dev,eval_mean_sortino,eval_mean_sharpe,env_mean_log_return_pa,env_mean_return_vol,env_mean_downside_dev,env_mean_sortino,env_mean_sharpe
epsilon0.003_delta5e-05,1,ok,True,0.003,5e-05,0.06149165034294128,-0.0953991635819385,0.0875260341131046,0.057444313777984,0.6550311756728849,0.4299042767217221,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.134164583768776,0.0600721914082821,0.0387737384166337,2.8623291277485334,1.8419224519233743,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta5e-05,2,ok,True,0.003,5e-05,0.05571594834327698,-0.0798492077102281,0.0757022440352859,0.0547425677356419,0.5814324198093548,0.4204512565080077,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.12102591905662481,0.0554794271468705,0.0354499336724619,2.762674301500383,1.757933445644617,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta5e-05,3,ok,True,0.003,5e-05,0.061571955680847154,-0.1135048271331842,0.0840256680455573,0.0540745444914304,0.6973418273580115,0.4487728874557864,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.11913075721521171,0.0508154442010063,0.0303473347117429,3.1789108241708655,1.8831568335538704,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta5e-05,4,ok,True,0.003,5e-05,0.07261987924575805,-0.0703359768667535,0.0641366442055025,0.04376069930843,1.1151645571726252,0.7608814192006483,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.11374271173271344,0.046250803992668,0.0282963545911001,3.2081364305305216,1.951418109042492,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta5e-05,5,ok,True,0.003,5e-05,0.086872398853302,-0.179875640646864,0.1218939590442828,0.0834222226804718,0.756509253676486,0.5177425027036021,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.20255231171203172,0.0883513595509529,0.0540106644044768,3.3312299571049406,2.0279317582359795,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.002_delta0.0001,1,ok,True,0.002,0.0001,0.08691800236701964,-0.1216980911457156,0.1271616133191675,0.0871496622049901,0.7246782950518929,0.4966551380764923,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.22935224093979212,0.0983103054612224,0.0614784373919128,3.364768046579602,2.096832080319741,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.002_delta0.0001,2,ok,True,0.002,0.0001,0.060234177112579335,-0.148659752424452,0.1102780668035724,0.077361342242686,0.4700711266328078,0.3297603445535519,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.18701796909030394,0.0797573367671845,0.0496024511951065,3.3137670518158355,2.0526448857964237,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.002_delta0.0001,3,ok,True,0.002,0.0001,0.038082525134086595,-0.1450153842179485,0.0992298339247179,0.0650051115994954,0.2172971845789851,0.1423506134710407,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.16674257868485484,0.0673903693843909,0.0407429767456603,3.5304013496069593,2.125462630915244,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.002_delta0.0001,4,ok,True,0.002,0.0001,0.06385263204574584,-0.1791497245341381,0.1157117652776285,0.0806175525256209,0.4961475899607924,0.3456710240152006,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.19216096658500836,0.0869606538839749,0.0557589401100822,3.036750565590239,1.9418309932229476,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.002_delta0.0001,5,ok,True,0.002,0.0001,0.0781913161277771,-0.1543194538616892,0.1099983416764709,0.0720937444201281,0.7544900760123608,0.4944984976913814,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.17913773763094015,0.0781902695055005,0.0485362894045479,3.22002019808031,1.991624785824753,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
